Dataset,Class,Metric,AE,My Framework (IF),Improvement (%),Winning Level,Winning Feature,Threshold
bpi_2012,Normal,Precision,0.920,0.893,-2.9%,L3_Global,minimal,-1.0
bpi_2012,Normal,Recall,0.610,0.427,-30.1%,L3_Global,minimal,-1.0
bpi_2012,Normal,F1-Score,0.730,0.575,-21.3%,L3_Global,minimal,-1.0
bpi_2012,Anomalous,Precision,0.110,0.398,+262.2%,L3_Global,minimal,-1.0
bpi_2012,Anomalous,Recall,0.470,0.881,+87.4%,L3_Global,minimal,-1.0
bpi_2012,Anomalous,F1-Score,0.180,0.548,+204.5%,L3_Global,minimal,-1.0
bpi_2012,Average,Precision,0.839,0.745,-11.2%,L3_Global,minimal,-1.0
bpi_2012,Average,Recall,0.596,0.563,-5.6%,L3_Global,minimal,-1.0
bpi_2012,Average,F1-Score,0.675,0.567,-16.0%,L3_Global,minimal,-1.0
bpi_2013,Normal,Precision,0.930,0.950,+2.2%,L3_Global,minimal,-0.25
bpi_2013,Normal,Recall,0.650,0.729,+12.2%,L3_Global,minimal,-0.25
bpi_2013,Normal,F1-Score,0.770,0.825,+7.1%,L3_Global,minimal,-0.25
bpi_2013,Anomalous,Precision,0.160,0.591,+269.2%,L3_Global,minimal,-0.25
bpi_2013,Anomalous,Recall,0.580,0.910,+56.8%,L3_Global,minimal,-0.25
bpi_2013,Anomalous,F1-Score,0.250,0.716,+186.4%,L3_Global,minimal,-0.25
bpi_2013,Average,Precision,0.853,0.842,-1.3%,L3_Global,minimal,-0.25
bpi_2013,Average,Recall,0.643,0.784,+21.9%,L3_Global,minimal,-0.25
bpi_2013,Average,F1-Score,0.718,0.792,+10.3%,L3_Global,minimal,-0.25
small_log,Normal,Precision,0.970,0.984,+1.5%,L3_Global,minimal,-0.75
small_log,Normal,Recall,0.990,0.740,-25.3%,L3_Global,minimal,-0.75
small_log,Normal,F1-Score,0.980,0.845,-13.8%,L3_Global,minimal,-0.75
small_log,Anomalous,Precision,0.920,0.616,-33.1%,L3_Global,minimal,-0.75
small_log,Anomalous,Recall,0.690,0.973,+41.0%,L3_Global,minimal,-0.75
small_log,Anomalous,F1-Score,0.780,0.754,-3.3%,L3_Global,minimal,-0.75
small_log,Average,Precision,0.965,0.874,-9.5%,L3_Global,minimal,-0.75
small_log,Average,Recall,0.963,0.810,-15.9%,L3_Global,minimal,-0.75
small_log,Average,F1-Score,0.962,0.817,-15.0%,L3_Global,minimal,-0.75
large_log,Normal,Precision,0.970,0.970,+0.0%,L3_Global,minimal,-0.5
large_log,Normal,Recall,0.990,0.772,-22.0%,L3_Global,minimal,-0.5
large_log,Normal,F1-Score,0.980,0.860,-12.2%,L3_Global,minimal,-0.5
large_log,Anomalous,Precision,0.820,0.640,-21.9%,L3_Global,minimal,-0.5
large_log,Anomalous,Recall,0.710,0.945,+33.1%,L3_Global,minimal,-0.5
large_log,Anomalous,F1-Score,0.760,0.763,+0.4%,L3_Global,minimal,-0.5
large_log,Average,Precision,0.955,0.871,-8.8%,L3_Global,minimal,-0.5
large_log,Average,Recall,0.962,0.824,-14.3%,L3_Global,minimal,-0.5
large_log,Average,F1-Score,0.958,0.831,-13.2%,L3_Global,minimal,-0.5
