Dataset,Class,Metric,Comuzzi (AE),My Framework (IF),Improvement (%),Winning Level,Winning Feature
bpi_2012,Normal,Precision,0.920,0.771,-16.2%,L2_Activity,time_based_circular
bpi_2012,Normal,Recall,0.610,0.963,+57.9%,L2_Activity,time_based_circular
bpi_2012,Normal,F1-Score,0.730,0.856,+17.3%,L2_Activity,time_based_circular
bpi_2012,Anomalous,Precision,0.110,0.794,+621.9%,L2_Activity,time_based_circular
bpi_2012,Anomalous,Recall,0.470,0.333,-29.1%,L2_Activity,time_based_circular
bpi_2012,Anomalous,F1-Score,0.180,0.469,+160.7%,L2_Activity,time_based_circular
bpi_2012,Average,Precision,0.839,0.775,-7.7%,L2_Activity,time_based_circular
bpi_2012,Average,Recall,0.596,0.868,+45.7%,L2_Activity,time_based_circular
bpi_2012,Average,F1-Score,0.675,0.798,+18.3%,L2_Activity,time_based_circular
bpi_2013,Normal,Precision,0.930,0.744,-20.0%,L3_Global,time_based_linear
bpi_2013,Normal,Recall,0.650,0.957,+47.2%,L3_Global,time_based_linear
bpi_2013,Normal,F1-Score,0.770,0.837,+8.7%,L3_Global,time_based_linear
bpi_2013,Anomalous,Precision,0.160,0.697,+335.6%,L3_Global,time_based_linear
bpi_2013,Anomalous,Recall,0.580,0.230,-60.3%,L3_Global,time_based_linear
bpi_2013,Anomalous,F1-Score,0.250,0.346,+38.4%,L3_Global,time_based_linear
bpi_2013,Average,Precision,0.853,0.737,-13.6%,L3_Global,time_based_linear
bpi_2013,Average,Recall,0.643,0.848,+31.9%,L3_Global,time_based_linear
bpi_2013,Average,F1-Score,0.718,0.763,+6.3%,L3_Global,time_based_linear
small_log,Normal,Precision,0.970,0.859,-11.4%,L2_Activity,minimal
small_log,Normal,Recall,0.990,1.000,+1.0%,L2_Activity,minimal
small_log,Normal,F1-Score,0.980,0.924,-5.7%,L2_Activity,minimal
small_log,Anomalous,Precision,0.920,1.000,+8.7%,L2_Activity,minimal
small_log,Anomalous,Recall,0.690,0.617,-10.6%,L2_Activity,minimal
small_log,Anomalous,F1-Score,0.780,0.763,-2.2%,L2_Activity,minimal
small_log,Average,Precision,0.965,0.880,-8.8%,L2_Activity,minimal
small_log,Average,Recall,0.963,0.943,-2.1%,L2_Activity,minimal
small_log,Average,F1-Score,0.962,0.900,-6.4%,L2_Activity,minimal
large_log,Normal,Precision,0.970,0.861,-11.3%,L2_Activity,minimal
large_log,Normal,Recall,0.990,1.000,+1.0%,L2_Activity,minimal
large_log,Normal,F1-Score,0.980,0.925,-5.6%,L2_Activity,minimal
large_log,Anomalous,Precision,0.820,1.000,+22.0%,L2_Activity,minimal
large_log,Anomalous,Recall,0.710,0.622,-12.4%,L2_Activity,minimal
large_log,Anomalous,F1-Score,0.760,0.767,+0.9%,L2_Activity,minimal
large_log,Average,Precision,0.955,0.881,-7.7%,L2_Activity,minimal
large_log,Average,Recall,0.962,0.943,-1.9%,L2_Activity,minimal
large_log,Average,F1-Score,0.958,0.901,-5.9%,L2_Activity,minimal
