dataset,model,level,feature_set,threshold_value,precision_normal,recall_normal,f1_score_normal,precision_anomalous,recall_anomalous,f1_score_anomalous
BPI_Challenge_2012,DBSCAN,L1_Micro,minimal,N/A,0.7009448572596966,0.9695101885147652,0.813638360591249,0.32879667841368787,0.0348461734045258,0.06301320599492208
BPI_Challenge_2012,DBSCAN,L1_Micro,position_based,N/A,0.701623207447228,0.9608537648469,0.8110273417048104,0.3376384249860788,0.046556064073226544,0.08182438360957232
BPI_Challenge_2012,DBSCAN,L1_Micro,process_context,N/A,0.7025928879500098,0.9523188405797102,0.8086139105156679,0.34806719773174416,0.05939613526570048,0.10147261934093796
BPI_Challenge_2012,DBSCAN,L1_Micro,time_based_circular,N/A,0.7259232740409457,0.9520148196578402,0.8237364546595369,0.5902893334849715,0.1613068904144419,0.2533644030391473
BPI_Challenge_2012,DBSCAN,L1_Micro,velocity_based,N/A,0.6942674595432796,0.9488051650866296,0.8018202026452215,0.1735476606994904,0.02508136282735825,0.04382651433615954
BPI_Challenge_2012,DBSCAN,L2_Activity,minimal,N/A,0.7000385378487378,0.9976659038901602,0.8227634460575508,0.31579856542147206,0.002517162471395881,0.004994427544758808
BPI_Challenge_2012,DBSCAN,L2_Activity,position_based,N/A,0.6999526628757243,0.9855137844611528,0.8185424932561027,0.29662442669778105,0.014263920671243328,0.027217516200623078
BPI_Challenge_2012,DBSCAN,L2_Activity,process_context,N/A,0.7006625317103837,0.9768328429770078,0.8160142593539936,0.3267931843107012,0.026245868293923214,0.048586076144504504
BPI_Challenge_2012,DBSCAN,L2_Activity,time_based_circular,N/A,0.7009511850372674,0.9815168355671788,0.8178406037079172,0.3470060279209326,0.02292270531400966,0.04300247139719549
BPI_Challenge_2012,DBSCAN,L2_Activity,velocity_based,N/A,0.6989691280682399,0.9921172496458537,0.8201347161937441,0.1402680781828028,0.003005339435545385,0.0058844980106665746
BPI_Challenge_2012,IsolationForest,L1_Micro,minimal,-1.5,0.6838283952054162,0.08806745123678762,0.15603857217032877,0.2983972292359465,0.9049885583524027,0.4488104478476547
BPI_Challenge_2012,IsolationForest,L1_Micro,minimal,-1.25,0.6849624002859371,0.09118993135011441,0.16094946032997579,0.29845495290527374,0.9021383168065091,0.4485241947326114
BPI_Challenge_2012,IsolationForest,L1_Micro,minimal,-1.0,0.7664767168352373,0.3479573934837093,0.47863059217662496,0.3309651861081363,0.7526379354182557,0.45975676354440304
BPI_Challenge_2012,IsolationForest,L1_Micro,minimal,-0.75,0.8327289174338194,0.6356134902473575,0.7209389076702067,0.45228330473639,0.7020861937452326,0.5501548350615837
BPI_Challenge_2012,IsolationForest,L1_Micro,minimal,-0.5,0.8216629412656683,0.6916367004467692,0.7510085041863446,0.47487062659948964,0.6498677854055429,0.5486734081123832
BPI_Challenge_2012,IsolationForest,L1_Micro,minimal,-0.25,0.7937589088215657,0.7587419636046638,0.7758502417567831,0.4896847319831905,0.5400266971777269,0.5136108810383947
BPI_Challenge_2012,IsolationForest,L1_Micro,minimal,0.0,0.7329224879505449,0.808903236351749,0.7690406986661309,0.4118328401654664,0.3122145944571574,0.35517067321672025
BPI_Challenge_2012,IsolationForest,L1_Micro,minimal,0.25,0.7069583002287101,0.86059278631361,0.776245593418279,0.3400780133260839,0.16763920671243326,0.22456552976199032
BPI_Challenge_2012,IsolationForest,L1_Micro,minimal,0.5,0.7001582613228396,0.8996905306745123,0.787481053778909,0.30137267799553547,0.10098525298754131,0.15127260610447285
BPI_Challenge_2012,IsolationForest,L1_Micro,minimal,0.75,0.6989256497568155,0.9289724310776941,0.7976939932619499,0.2855671742645336,0.06626620900076277,0.10756317149107145
BPI_Challenge_2012,IsolationForest,L1_Micro,minimal,1.0,0.6987874664890245,0.9491396970687589,0.8049463575987126,0.2765021577679584,0.04536994660564454,0.07793991776212278
BPI_Challenge_2012,IsolationForest,L1_Micro,minimal,1.25,0.6990220818277875,0.9630974174566852,0.8100814266738825,0.27347962421245364,0.03241164505466565,0.05794744556381855
